Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_TRACT,NUM_FB_10,PCT_FB_10
36029000110,14000US36029000110,"Census Tract 1.10, Erie County, New York","Census Tract 1.10, Erie County, New York",110,80,2.93
36029000200,14000US36029000200,"Census Tract 2, Erie County, New York","Census Tract 2, Erie County, New York",200,302,7.3
36029000500,14000US36029000500,"Census Tract 5, Erie County, New York","Census Tract 5, Erie County, New York",500,93,4.45
36029000600,14000US36029000600,"Census Tract 6, Erie County, New York","Census Tract 6, Erie County, New York",600,362,6.91
36029000700,14000US36029000700,"Census Tract 7, Erie County, New York","Census Tract 7, Erie County, New York",700,47,1.24
36029000800,14000US36029000800,"Census Tract 8, Erie County, New York","Census Tract 8, Erie County, New York",800,85,1.66
36029000900,14000US36029000900,"Census Tract 9, Erie County, New York","Census Tract 9, Erie County, New York",900,33,1.4
36029001000,14000US36029001000,"Census Tract 10, Erie County, New York","Census Tract 10, Erie County, New York",1000,179,2.87
36029001100,14000US36029001100,"Census Tract 11, Erie County, New York","Census Tract 11, Erie County, New York",1100,27,1.01
36029001402,14000US36029001402,"Census Tract 14.02, Erie County, New York","Census Tract 14.02, Erie County, New York",1402,174,4.6
36029001500,14000US36029001500,"Census Tract 15, Erie County, New York","Census Tract 15, Erie County, New York",1500,33,2.5
36029001600,14000US36029001600,"Census Tract 16, Erie County, New York","Census Tract 16, Erie County, New York",1600,332,15.59
36029001700,14000US36029001700,"Census Tract 17, Erie County, New York","Census Tract 17, Erie County, New York",1700,174,8.5
36029001900,14000US36029001900,"Census Tract 19, Erie County, New York","Census Tract 19, Erie County, New York",1900,141,4.68
36029002300,14000US36029002300,"Census Tract 23, Erie County, New York","Census Tract 23, Erie County, New York",2300,19,0.54
36029002400,14000US36029002400,"Census Tract 24, Erie County, New York","Census Tract 24, Erie County, New York",2400,290,7.58
36029002502,14000US36029002502,"Census Tract 25.02, Erie County, New York","Census Tract 25.02, Erie County, New York",2502,91,5.16
36029002702,14000US36029002702,"Census Tract 27.02, Erie County, New York","Census Tract 27.02, Erie County, New York",2702,416,15.34
36029002800,14000US36029002800,"Census Tract 28, Erie County, New York","Census Tract 28, Erie County, New York",2800,31,1.24
36029002900,14000US36029002900,"Census Tract 29, Erie County, New York","Census Tract 29, Erie County, New York",2900,129,4.73
36029003000,14000US36029003000,"Census Tract 30, Erie County, New York","Census Tract 30, Erie County, New York",3000,33,1.1
36029003100,14000US36029003100,"Census Tract 31, Erie County, New York","Census Tract 31, Erie County, New York",3100,82,3.01
36029003301,14000US36029003301,"Census Tract 33.01, Erie County, New York","Census Tract 33.01, Erie County, New York",3301,178,4.61
36029003302,14000US36029003302,"Census Tract 33.02, Erie County, New York","Census Tract 33.02, Erie County, New York",3302,137,4.48
36029003400,14000US36029003400,"Census Tract 34, Erie County, New York","Census Tract 34, Erie County, New York",3400,46,1.5
36029003500,14000US36029003500,"Census Tract 35, Erie County, New York","Census Tract 35, Erie County, New York",3500,106,3.19
36029003600,14000US36029003600,"Census Tract 36, Erie County, New York","Census Tract 36, Erie County, New York",3600,60,2.46
36029003700,14000US36029003700,"Census Tract 37, Erie County, New York","Census Tract 37, Erie County, New York",3700,79,1.79
36029003800,14000US36029003800,"Census Tract 38, Erie County, New York","Census Tract 38, Erie County, New York",3800,0,0
36029003901,14000US36029003901,"Census Tract 39.01, Erie County, New York","Census Tract 39.01, Erie County, New York",3901,0,0
36029004001,14000US36029004001,"Census Tract 40.01, Erie County, New York","Census Tract 40.01, Erie County, New York",4001,180,4.35
36029004100,14000US36029004100,"Census Tract 41, Erie County, New York","Census Tract 41, Erie County, New York",4100,140,2.96
36029004200,14000US36029004200,"Census Tract 42, Erie County, New York","Census Tract 42, Erie County, New York",4200,142,4.01
36029004300,14000US36029004300,"Census Tract 43, Erie County, New York","Census Tract 43, Erie County, New York",4300,203,3.59
36029004401,14000US36029004401,"Census Tract 44.01, Erie County, New York","Census Tract 44.01, Erie County, New York",4401,88,2.24
36029004402,14000US36029004402,"Census Tract 44.02, Erie County, New York","Census Tract 44.02, Erie County, New York",4402,78,2.68
36029004500,14000US36029004500,"Census Tract 45, Erie County, New York","Census Tract 45, Erie County, New York",4500,333,5.96
36029004601,14000US36029004601,"Census Tract 46.01, Erie County, New York","Census Tract 46.01, Erie County, New York",4601,1159,33.27
36029004602,14000US36029004602,"Census Tract 46.02, Erie County, New York","Census Tract 46.02, Erie County, New York",4602,214,17.66
36029004700,14000US36029004700,"Census Tract 47, Erie County, New York","Census Tract 47, Erie County, New York",4700,920,12.33
36029004800,14000US36029004800,"Census Tract 48, Erie County, New York","Census Tract 48, Erie County, New York",4800,85,2.1
36029004900,14000US36029004900,"Census Tract 49, Erie County, New York","Census Tract 49, Erie County, New York",4900,480,7.89
36029005000,14000US36029005000,"Census Tract 50, Erie County, New York","Census Tract 50, Erie County, New York",5000,73,2.86
